title,description,url,image,publishedAt,source,Location
Why South Korea may have more coronavirus cases than the US,"South Korea had tested a total of 66,652 people for the COVID-19 coronavirus virus as of 4 p.m. local time Thursday, whereas Japan had reported administering roughly 1,890 tests and the U.S. only 445.",https://abcnews.go.com/International/massive-coronavirus-testing-program-south-korea-underscores-nimble/story?id=69226222,https://images.gnews.io/8cee9f1f3fbe26400059c2efb0b50b00,2020-02-28 06:38:00 UTC,"{'name': 'ABC', 'url': 'https://abcnews.go.com'}",Us
Coronavirus: NHS confirm dozens of suspected cases of COVID-19 reported across Lanarkshire,"We rely on advertising to provide you with free content! By taking the action to click anywhere on this page, or by clicking the “Continue to Site” button, you agree to allow us and various third ...",https://www.msn.com/en-gb/health/medical/coronavirus-nhs-confirm-dozens-of-suspected-cases-of-covid-19-reported-across-lanarkshire/ar-BB10wbSK,https://images.gnews.io/046e01e305216927615a3c38b150f451,2020-02-28 04:57:54 UTC,"{'name': 'Daily Record on MSN.com', 'url': 'https://www.msn.com'}",Us
"US intelligence agencies monitoring worldwide spread of coronavirus, concerns in India, Iran: report","He encouraged Iranians to avoid “unnecessary trips inside the country."" COVID-19 has infected Iran's vice president and deputy health minister. Iran's mortality rate from the virus is roughly 11 ...",https://www.foxnews.com/health/us-intelligence-agencies-monitoring-spread-coronavirus-throughout-the-globe-concerns-india-iran-report,https://images.gnews.io/54302b51b58bc6d27421693240dce8b0,2020-02-28 01:55:00 UTC,"{'name': 'Fox News', 'url': 'https://www.foxnews.com'}",Us
How Iran Became a New Epicenter of the Coronavirus Outbreak,"Harirchi dismissed as hype an Iranian lawmaker’s claim that fifty people had already died from COVID-19. “I will resign if the numbers are even half or a quarter of this,” he said, adding that Iran ...",https://www.newyorker.com/news/our-columnists/how-iran-became-a-new-epicenter-of-the-coronavirus-outbreak,https://images.gnews.io/085eb94dd133c0c1cd4ed718f0a7af1f,2020-02-28 09:30:00 UTC,"{'name': 'The New Yorker', 'url': 'https://www.newyorker.com'}",Iran
"Coronavirus reaches 50 countries, including 1st in sub-Saharan Africa","More than 83,000 cases of the COVID-19 disease have now been confirmed in 50 countries. While about 36,000 of those people have recovered, fast-growing outbreaks in South Korea, Italy and Iran - along ...",https://www.cbsnews.com/live-updates/coronavirus-outbreak-death-toll-infections-latest-news-updates-2020-02-28/,https://images.gnews.io/6386728ec71eecd59064b051cfd1f148,2020-02-28 02:32:00 UTC,"{'name': 'CBS News', 'url': 'https://www.cbsnews.com'}",Iran
"US intelligence agencies monitoring worldwide spread of coronavirus, concerns in India, Iran: report","He encouraged Iranians to avoid “unnecessary trips inside the country."" COVID-19 has infected Iran's vice president and deputy health minister. Iran's mortality rate from the virus is roughly 11 ...",https://www.foxnews.com/health/us-intelligence-agencies-monitoring-spread-coronavirus-throughout-the-globe-concerns-india-iran-report,https://images.gnews.io/54302b51b58bc6d27421693240dce8b0,2020-02-28 01:55:00 UTC,"{'name': 'Fox News', 'url': 'https://www.foxnews.com'}",Iran
Saudi Arabia halts pilgrimages over virus; Iran cases spike,"The hardest-hit nation in the Mideast is Iran, where Health Ministry spokesman Kianoush Jahanpour on Thursday reported 26 deaths out of 245 confirmed cases of the illness, named COVID-19. Experts are ...",https://www.latimes.com/world-nation/story/2020-02-27/saudi-arabia-halts-pilgrimages-over-virus-iran-cases-spike,https://images.gnews.io/3e15ef09129f391afb2f413bfd701add,2020-02-27 03:35:00 UTC,"{'name': 'Los Angeles Times', 'url': 'https://www.latimes.com'}",Iran
"Iran struggles to contain coronavirus outbreak, putting Middle East countries at risk","ISTANBUL — Iran is emerging as the center of an outbreak of the new coronavirus across the ... But some relatives of patients who died of the disease, named covid-19, as well as nurses in other ...",https://www.washingtonpost.com/world/middle_east/iran-struggles-to-contain-coronavirus-outbreak-putting-mideast-countries-at-risk/2020/02/26/bb654f30-57f3-11ea-8efd-0f904bdd8057_story.html,https://images.gnews.io/4f747b47305ff09928076129d1d548ae,2020-02-27 01:01:00 UTC,"{'name': 'Washington Post', 'url': 'https://www.washingtonpost.com'}",Iran
First Solar Could Become Rare Market Bright Spot,"It does not pay a dividend. A new Covid-19 hot spot is Iran, near the site of a Chinese solar installation. First Solar's business is mostly domestic. Challenges for Chinese solar competitors may ...",https://seekingalpha.com/article/4327437-first-solar-become-rare-market-bright-spot,https://images.gnews.io/b9a9e246a182cef6aa3cfcc370769300,2020-02-26 13:13:00 UTC,"{'name': 'Seeking Alpha', 'url': 'https://seekingalpha.com'}",Iran
"A large US coronavirus outbreak that rattles markets is 'increasingly likely,' Jefferies says","Jefferies said coronavirus outbreaks in Italy, Iran and South Korea hint that COVID-19 is capable of spreading to and within many locations.",https://www.cnbc.com/2020/02/25/us-coronavirus-outbreak-increasingly-likely-and-could-drag-markets-jefferies-says.html,https://images.gnews.io/98a59230d74ec46c8a06e715b552fbea,2020-02-25 13:28:00 UTC,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}",Iran
This Coronavirus-Proof Stock Was Up Amid Monday's Huge Selloff,"The stock of Clorox (NYSE:CLX) achieved the very rare feat of being up on Monday, Feb. 24 -- a day on which markets plummeted on news the COVID-19 coronavirus had spread to South Korea, Iran, and ...",https://www.fool.com/investing/2020/02/25/this-coronavirus-proof-stock-was-up-amid-mondays-h.aspx,https://images.gnews.io/87ded24b569644f01f2926b8ed82884e,2020-02-25 08:45:00 UTC,"{'name': 'The Motley Fool', 'url': 'https://www.fool.com'}",Iran
Covid-19: Our chance to contain the coronavirus may already be over,"The global spread of covid-19 seems to have exploded in recent days, with outbreaks revealed in Iran and Italy and a massive increase in cases in South Korea. Tedros Ghebreyesus, director-general of ...",https://www.newscientist.com/article/2234967-covid-19-our-chance-to-contain-the-coronavirus-may-already-be-over/,https://images.gnews.io/a97a3811431abd7608a5adfe0a70dd2b,2020-02-24 10:03:00 UTC,"{'name': 'New Scientist', 'url': 'https://www.newscientist.com'}",Iran
"Coronavirus updates: Austria halts train traffic with Italy, Turkey closes Iran border",Turkey will close its border with Iran as a precautionary measure after the COVID-19 coronavirus outbreak in the country worsened.,https://www.cnbc.com/2020/02/23/coronavirus-latest-updates.html,https://images.gnews.io/f0d4ac93b5faa9cd58fe199f69799aa7,2020-02-23 20:43:00 UTC,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}",Iran
"United Airlines reducing service to Japan, South Korea, Singapore amid coronavirus outbreak","United Airlines announced on Friday that it would be scaling back its routes to Japan, Singapore and South Korea amid the ongoing COVID-19 outbreak. The airline further announced that its suspension ...",https://www.foxnews.com/travel/united-airlines-reducing-service-japan-south-korea-singapore-coronavirus-outbreak,https://images.gnews.io/d877a733c51eae092ba296809bd4917d,2020-02-28 07:40:00 UTC,"{'name': 'Fox News', 'url': 'https://www.foxnews.com'}",South korea
Why South Korea may have more coronavirus cases than the US,"South Korea had tested a total of 66,652 people for the COVID-19 coronavirus virus as of 4 p.m. local time Thursday, whereas Japan had reported administering roughly 1,890 tests and the U.S. only 445.",https://abcnews.go.com/International/massive-coronavirus-testing-program-south-korea-underscores-nimble/story?id=69226222,https://images.gnews.io/8cee9f1f3fbe26400059c2efb0b50b00,2020-02-28 06:38:00 UTC,"{'name': 'ABC', 'url': 'https://abcnews.go.com'}",South korea
"Coronavirus reaches 50 countries, including 1st in sub-Saharan Africa","More than 83,000 cases of the COVID-19 disease have now been confirmed in 50 countries. While about 36,000 of those people have recovered, fast-growing outbreaks in South Korea, Italy and Iran - along ...",https://www.cbsnews.com/live-updates/coronavirus-outbreak-death-toll-infections-latest-news-updates-2020-02-28/,https://images.gnews.io/6386728ec71eecd59064b051cfd1f148,2020-02-28 02:32:00 UTC,"{'name': 'CBS News', 'url': 'https://www.cbsnews.com'}",South korea
"U.S., South Korea diplomats discussed North Korea, report says","U.S. and South Korean diplomats exchanged a phone call on Thursday regarding North Korea, as Seoul struggles to contain a massive outbreak of COVID-19.",https://www.upi.com/Top_News/World-News/2020/02/27/US-South-Korea-diplomats-discussed-North-Korea-report-says/7831582826989/,https://images.gnews.io/356365b179c681ede8d8cd3ca20857b6,2020-02-27 10:21:00 UTC,"{'name': 'UPI.com', 'url': 'https://www.upi.com'}",South korea
South Korea takes new measures to have enough face masks domestically amid coronavirus,"Domestic demand for masks in South Korea has shot up drastically as the number of confirmed patients with COVID-19-- the official name of this virus -- spiked from 104 to 1,766 cases in just a week.",https://abcnews.go.com/International/south-korea-takes-measures-face-masks-domestically-amid/story?id=69254114,https://images.gnews.io/9ba92da7bc53ec926fb5779d59276ea4,2020-02-27 06:52:00 UTC,"{'name': 'ABC', 'url': 'https://abcnews.go.com'}",South korea
Hawaiian Airlines temporarily suspends all service to South Korea 'due to a spike' in coronavirus cases,"“We believe a temporary service suspension is prudent given the escalation of COVID-19 in South Korea and the impact the illness has had on demand for leisure travel from that country,” said Hawaiian ...",https://www.foxnews.com/travel/hawaiian-airlines-temporarily-suspends-all-service-to-south-korea-due-to-a-spike-in-coronavirus-cases,https://images.gnews.io/608855e493c27869e9554151e6241b65,2020-02-27 06:29:00 UTC,"{'name': 'Fox News', 'url': 'https://www.foxnews.com'}",South korea
US and South Korea postpone joint military exercise as coronavirus spreads,"As South Korea reported more than 500 new cases of the COVID-19 virus, the U.S. and South Korean militaries announced they would postpone a joint exercise that would have brought troops from both ...",https://www.washingtonexaminer.com/policy/defense-national-security/us-and-south-korea-postpone-joint-military-exercise-as-coronavirus-spreads,https://images.gnews.io/dab30456c403ce98421d094516062780,2020-02-27 06:09:00 UTC,"{'name': 'Washington Examiner', 'url': 'https://www.washingtonexaminer.com'}",South korea
Were you on this bus with a coronavirus patient? South Korea is on the hunt for infections,"Within hours of her positive COVID-19 test on Feb. 18, South Korean authorities released a detailed accounting ... With scientists and public health officials still learning about how and when the ...",https://www.latimes.com/world-nation/story/2020-02-27/south-korea-coronavirus-cases-surveillance,https://images.gnews.io/0ff251c94582824d720afe20a57439fa,2020-02-27 05:04:00 UTC,"{'name': 'Los Angeles Times', 'url': 'https://www.latimes.com'}",South korea
UW-Madison suspends South Korea study abroad programs amid COVID-19 coronavirus concerns,"The suspensions affected a dozen students among the three schools, though five of the students had not yet left for their program. South Korea has one of the highest number of confirmed cases of COVID ...",https://madison.com/wsj/news/local/education/university/uw-madison-suspends-south-korea-study-abroad-programs-amid-covid/article_02987760-21f3-5e72-828b-624d7a3dfd7e.html,https://images.gnews.io/2198f65d9b456e711d8c23fe86a0fc08,2020-02-27 03:45:00 UTC,"{'name': 'Madison.com', 'url': 'https://madison.com'}",South korea
"China reports 433 new confirmed COVID-19 cases, South Korea reports 334","and 29 new deaths (26 in Hubei and 1 in Beijing, Heilongjiang, and Henan) Wednesday. In South Korea the situation appears to be going in the opposite direction. In the past 24 hours, the Korean CDC ...",http://outbreaknewstoday.com/china-reports-433-new-confirmed-covid-19-cases-south-korea-reports-334/,https://images.gnews.io/b8c4199ae1cf28becade455a531c2be8,2020-02-27 02:31:00 UTC,"{'name': 'Pink', 'url': 'http://outbreaknewstoday.com'}",South korea
