,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime,Latitude,Longitude,GbProv_x,Prov_CH_x,ProvEN,Total,三级甲等医院,专科医院,传染病医院,医疗保健服务场所,卫生院,口腔医院,妇科医院,急救中心,整形美容,疾病预防,眼科医院,精神病医院,综合医院,耳鼻喉医院,肿瘤医院,胸科医院,脑科医院,诊所,骨科医院,Unnamed: 0_y,Population,Land_Area_mi2,Temperature_03_12
10,10,10,150,贵州省,Guizhou,52,六盘水,Liupanshui,520200.0,146,0,112,2,10,0,8,1,39:05.1,26.59883311,104.8375546,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,266.0,"1,077,000",3832.0,280.01
11,11,11,151,贵州省,Guizhou,52,黔南州,Qiannan,522700.0,146,0,112,2,17,0,15,0,39:05.1,26.2606162,107.5284027,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,,,10113.0,283.34
12,12,12,152,贵州省,Guizhou,52,贵阳,Guiyang,520100.0,146,0,112,2,36,0,27,1,39:05.1,26.65332482,106.6365768,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,265.0,"3,317,000",3102.0,282.51
13,13,13,153,贵州省,Guizhou,52,遵义,Zunyi,520300.0,146,0,112,2,32,0,19,0,39:05.1,27.73170088,106.9334277,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,267.0,"1,281,000",11878.0,286.69
14,14,14,154,贵州省,Guizhou,52,毕节,Bijie,520500.0,146,0,112,2,23,0,15,0,39:05.1,27.29021508,105.2985888,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,,"638,000",10368.0,279.78
15,15,15,156,宁夏回族自治区,Ningxia,64,吴忠,Wuzhong,640300.0,72,0,68,0,28,0,26,0,54:22.3,38.00371291,106.2053713,64,宁夏省,Ningxia,5828,81,2.0,12,2223,371,324,25,34,44,77,45,2.0,648,5.0,4.0,4.0,3,1904,20,332.0,"1,415,400",6470.0,266.93
16,16,16,157,宁夏回族自治区,Ningxia,64,银川,Yinchuan,640100.0,72,0,68,0,33,0,32,0,54:22.3,38.49246006,106.2384936,64,宁夏省,Ningxia,5828,81,2.0,12,2223,371,324,25,34,44,77,45,2.0,648,5.0,4.0,4.0,3,1904,20,330.0,"1,579,000",3427.0,265.46
17,17,17,158,宁夏回族自治区,Ningxia,64,中卫,Zhongwei,640500.0,72,0,68,0,4,0,3,0,54:22.3,37.50570142,105.2035709,64,宁夏省,Ningxia,5828,81,2.0,12,2223,371,324,25,34,44,77,45,2.0,648,5.0,4.0,4.0,3,1904,20,,"1,041,821",16986.0,265.5
18,18,18,159,宁夏回族自治区,Ningxia,64,固原,Guyuan,640400.0,72,0,68,0,5,0,5,0,54:22.3,36.02161726,106.2485774,64,宁夏省,Ningxia,5828,81,2.0,12,2223,371,324,25,34,44,77,45,2.0,648,5.0,4.0,4.0,3,1904,20,,"1,507,700",5565.0,264.29
19,19,19,160,宁夏回族自治区,Ningxia,64,宁东,Ningdong County,0.0,72,0,68,0,1,0,1,0,54:22.3,38.47687797,106.2656048,64,宁夏省,Ningxia,5828,81,2.0,12,2223,371,324,25,34,44,77,45,2.0,648,5.0,4.0,4.0,3,1904,20,,"33,490",1345.0,265.12
